university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
University of Szeged,Agricultural Engineering,BSc,17777.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-agricultural-engineering
University of Helsinki,"Agricultural, Environmental and Resource Economics",MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-agricultural-environmental-and-resource-economics
University of Helsinki,Agricultural Sciences,MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-agricultural-sciences
TBS Education,AI-Driven Digital Marketing & Analytics (Barcelona),Master,22509.0,1.0,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-ai-driven-digital-marketing-analytics-barcelona
University of Szeged,American Studies,MA,8773.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-american-studies-11272
SRH University,Applied Computer Science,MSc,28293.0,,6422,"Heidelberg, Germany + 2 more campuses",https://www.study.eu/university/srh-university/msc-applied-computer-science
SRH University,Applied Data Science and AI - Business Analytics,MSc,,,6422,"Fürth, Germany",https://www.study.eu/university/srh-university/msc-applied-data-science-and-ai-business-analytics
University of Szeged,Applied Mathematics,MSc,12466.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-applied-mathematics-12421
Chalmers University of Technology,Applied Mechanics,MSc,29555.0,,270,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-applied-mechanics
SRH University,Architecture - Design for the Built Environment,MA,16778.0,,6422,"Heidelberg, Germany + 1 more campus",https://www.study.eu/university/srh-university/ma-architecture-design-for-the-built-environment
TBS Education,Banking and International Finance,MSc,22509.0,1.0,N/A,"Paris, France",https://www.study.eu/university/tbs-education/msc-banking-and-international-finance
University of Szeged,Biochemical Engineer,BSc,25857.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-biochemical-engineer
University of Szeged,Biology,MSc,13852.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-biology-11277
Chalmers University of Technology,Biotechnology: Food and health,MSc,29555.0,,270,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-biotechnology-food-and-health
TBS Education,Brand Management & Creativity (Barcelona),Master,22509.0,1.0,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-brand-management-creativity-barcelona
SRH Haarlem University of Applied Sciences,Business Psychology,Bachelor,62334.0,4.0,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-business-psychology
Vilnius University,Career Education,Master,9990.0,1.5,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-career-education
University of Helsinki,Changing Education,MA,41556.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-changing-education
University of Helsinki,Chemistry and Molecular Sciences,MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-chemistry-and-molecular-sciences
University of Helsinki,Computer Science,MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-computer-science
TSI Transport and Telecommunication Institute,Computer Science: Data Analytics and Artificial Intelligence,Master,,,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/master-computer-science-data-analytics-and-artificial-intell
University of Helsinki,Contemporary Societies,Master,30013.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-contemporary-societies
TBS Education,"Cultural Management: Music, Screen & Video Games (Barcelona)",MSc,22509.0,1.0,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/msc-cultural-management-music-screen-video-games-barcelona
University of Helsinki,Data Science,MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-data-science-10514
University of Helsinki,Ecology and Evolutionary Biology,MSc,34630.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-ecology-and-evolutionary-biology
University of Helsinki,Economics,MSc,41556.0,2.0,79,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-economics-2039
